cow_id,distance_to_leopard,distance_to_forest,time_of_day,risk_level
COW007,933.47,712.7,1,0
COW005,564.54,547.94,3,0
COW002,867.08,13.15,1,0
COW003,139.84,90.18,2,2
COW004,983.17,199.61,0,0
COW005,542.9,126.59,1,0
COW003,426.08,283.27,1,0
COW007,735.98,279.14,1,0
COW010,589.76,972.62,3,0
COW002,975.88,754.76,0,0
COW002,618.06,162.46,3,1
COW010,192.93,136.74,0,1
COW004,520.36,226.96,1,0
COW008,409.13,774.35,0,0
COW008,357.78,254.29,1,0
COW008,34.28,718.94,0,1
COW001,610.1,785.36,2,0
COW010,600.95,709.73,1,0
COW006,397.13,930.14,3,0
COW008,625.38,731.0,2,0
COW007,778.12,198.02,0,0
COW009,246.9,990.72,1,1
COW008,112.55,673.65,3,2
COW003,593.65,741.96,1,0
COW002,991.71,225.88,3,0
COW003,331.2,150.86,0,0
COW002,50.89,346.09,3,2
COW008,447.93,458.23,0,0
COW005,110.23,458.85,0,1
COW010,78.66,372.29,0,1
COW007,53.75,819.55,1,1
COW009,156.77,805.21,3,2
COW007,723.22,276.68,2,0
COW008,371.26,707.12,0,0
COW009,0.13,116.28,1,1
COW009,269.42,524.46,2,2
COW002,16.4,708.9,0,1
COW009,587.15,246.66,2,0
COW002,57.85,103.86,3,2
COW004,68.45,161.14,1,1
COW004,706.86,208.55,3,0
COW010,174.68,843.86,0,1
COW003,465.92,346.8,2,0
COW009,570.4,686.82,1,0
COW002,917.45,188.36,1,0
COW002,193.59,669.03,3,2
COW006,287.5,757.4,0,1
COW008,143.59,483.57,3,2
COW002,998.88,512.8,1,0
COW009,90.79,721.85,2,2
COW003,807.05,306.38,1,0
COW003,0.76,291.92,3,2
COW001,984.47,100.86,2,0
COW004,734.76,678.63,0,0
COW003,374.88,380.3,0,0
COW006,721.26,418.53,3,0
COW002,124.79,898.54,1,1
COW002,312.81,780.62,0,0
COW005,859.69,248.43,3,0
COW005,885.72,271.82,3,0
COW006,492.15,416.26,0,0
COW005,610.04,654.55,3,0
COW010,668.41,127.75,1,0
COW008,431.62,78.25,3,1
COW006,689.81,751.89,3,0
COW001,137.29,377.0,0,1
COW009,78.71,321.22,3,2
COW007,170.93,915.21,1,1
COW002,599.84,305.26,0,0
COW008,620.55,250.43,0,0
COW007,338.89,265.27,0,0
COW004,552.99,504.65,0,0
COW002,297.49,625.92,2,2
COW002,545.02,291.75,2,0
COW007,822.17,439.3,1,0
COW009,988.86,638.07,2,0
COW002,973.83,440.93,1,0
COW007,726.6,861.93,1,0
COW007,183.75,250.96,3,2
COW004,25.04,841.49,2,2
COW002,721.08,867.08,0,0
COW008,428.81,356.1,3,0
COW006,546.34,573.61,1,0
COW006,506.17,495.25,1,0
COW001,988.04,155.76,1,0
COW004,492.46,477.59,3,0
COW005,309.19,135.01,1,0
COW007,525.3,358.01,2,0
COW002,633.59,928.66,2,0
COW003,993.39,406.77,2,0
COW005,755.23,509.05,0,0
COW004,463.13,384.88,0,0
COW005,911.42,950.75,3,0
COW005,840.68,39.11,0,0
COW003,605.29,666.78,1,0
COW002,64.33,107.36,0,1
COW009,957.58,476.2,2,0
COW004,95.14,819.75,3,2
COW004,253.54,300.77,2,2
COW006,62.39,737.54,0,1
COW002,549.62,466.66,3,0
COW002,867.17,249.1,1,0
COW007,922.42,117.85,2,0
COW005,560.26,546.58,1,0
COW008,73.68,552.63,1,1
COW005,165.46,916.17,3,2
COW010,183.72,529.12,0,1
COW006,755.7,783.83,1,0
COW004,261.56,817.63,0,1
COW006,505.58,474.96,3,0
COW001,715.49,478.43,2,0
COW002,204.24,313.28,3,2
COW008,543.37,134.68,1,0
COW003,537.34,945.98,1,0
COW002,429.85,729.57,1,0
COW003,687.2,73.25,2,0
COW007,886.43,107.33,1,0
COW007,326.03,462.79,0,0
COW005,929.22,674.24,2,0
COW005,531.54,17.51,0,0
COW001,502.72,573.2,3,0
COW006,706.95,159.73,1,0
COW005,879.2,644.97,3,0
COW007,91.65,789.79,1,1
COW009,484.08,667.05,0,0
COW010,665.72,472.78,0,0
COW010,466.22,381.14,2,0
COW003,996.85,392.11,0,0
COW003,397.61,517.01,0,0
COW003,214.32,67.08,0,1
